Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Estonia,Europe,478941,36038.348,37000,2784.098,4391,2195,165.165,47,3.537,7
Egypt,Eastern Mediterranean,475341,464.498,14042,13.722,1892,23889,23.344,370,0.362,32
Puerto Rico,Americas,472100,16502.071,2355,82.318,164,4088,142.894,33,1.154,2
Ethiopia,Africa,468495,407.516,635,0.552,69,7446,6.477,17,0.015,5
Armenia,Europe,418220,14113.634,6342,214.023,764,8392,283.204,139,4.691,14
Honduras,Americas,409708,4136.54,2836,28.633,0,10684,107.869,43,0.434,0
Oman,Eastern Mediterranean,378922,7420.203,8302,162.573,974,4238,82.99,17,0.333,0
Bosnia and Herzegovina,Europe,369870,11273.723,3420,104.242,640,15380,468.786,218,6.645,18
Qatar,Eastern Mediterranean,355397,12335.663,2950,102.393,365,664,23.047,6,0.208,2
Kenya,Africa,322781,600.285,236,0.439,45,5638,10.485,5,0.009,0
Cyprus,Europe,313406,35293.27,15171,1708.436,2167,833,93.806,35,3.941,3
Zambia,Africa,311888,1696.523,1733,9.427,296,3947,21.47,8,0.044,1
North Macedonia,Europe,295082,14163.619,5287,253.77,674,8958,429.974,104,4.992,12
Réunion,Africa,292126,32628.402,13632,1522.598,0,640,71.483,37,4.133,0
Albania,Europe,270734,9407.673,1433,49.795,279,3453,119.987,23,0.799,2
Algeria,Africa,264488,603.151,1494,3.407,123,6816,15.544,54,0.123,4
Botswana,Africa,262652,11168.948,2161,91.894,0,2614,111.157,11,0.468,0
Nigeria,Africa,254352,123.388,215,0.104,27,3142,1.524,1,0,0
Uzbekistan,Europe,235880,704.767,1280,3.824,140,1626,4.858,14,0.042,2
Zimbabwe,Africa,234589,1578.35,2376,15.986,609,5388,36.251,9,0.061,0
Montenegro,Europe,229425,36529.037,1918,305.384,196,2669,424.958,28,4.458,3
Kosovo[1],Europe,225621,12564.753,1595,88.825,257,3095,172.359,24,1.337,3
Mozambique,Africa,224983,719.82,192,0.614,46,2191,7.01,2,0.006,1
China,Western Pacific,203863,13.856,45812,3.114,8916,5873,0.399,158,0.011,49
Kyrgyzstan,Europe,200402,3071.676,188,2.882,14,2950,45.216,13,0.199,2
Luxembourg,Europe,180376,28809.087,4199,670.651,1071,988,157.8,9,1.437,2
Afghanistan,Eastern Mediterranean,172924,444.211,1405,3.609,23,7575,19.459,62,0.159,1
Maldives,South-East Asia,167496,30986.562,4522,836.565,0,293,54.205,3,0.555,0
Uganda,Africa,163179,356.746,247,0.54,27,3585,7.838,3,0.007,0
Ghana,Africa,159124,512.098,965,3.106,118,1442,4.641,11,0.035,0
Namibia,Africa,157060,6181.262,217,8.54,0,4002,157.503,7,0.275,0
El Salvador,Americas,147786,2278.466,0,0,0,4054,62.502,35,0.54,6
Lao People's Democratic Republic,Western Pacific,141694,1947.534,1664,22.871,253,616,8.467,14,0.192,3
Rwanda,Africa,129436,999.335,99,0.764,17,1457,11.249,5,0.039,0
Cambodia,Western Pacific,128133,766.393,3790,22.669,558,3023,18.081,8,0.048,1
Jamaica,Americas,127741,4313.874,447,15.095,35,2798,94.49,43,1.452,3
Trinidad and Tobago,Americas,124488,8895.253,3217,229.87,0,3582,255.951,47,3.358,0
Guadeloupe,Americas,122211,30543.282,4034,1008.187,0,909,227.18,20,4.998,0
Cameroon,Africa,119107,448.684,432,1.627,174,1920,7.233,5,0.019,2
Iceland,Europe,115241,31647.965,19019,5223.077,3147,60,16.477,2,0.549,0
Martinique,Americas,112115,29876.221,4971,1324.664,0,871,232.103,12,3.198,0
Angola,Africa,98698,300.302,130,0.396,27,1899,5.778,0,0,0
Democratic Republic of the Congo,Africa,85938,95.954,104,0.116,62,1335,1.491,19,0.021,0
Senegal,Africa,85619,511.344,150,0.896,19,1960,11.706,3,0.018,1
Malawi,Africa,85257,445.673,151,0.789,19,2610,13.644,11,0.058,1
Côte d’Ivoire,Africa,81410,308.625,157,0.595,13,791,2.999,0,0,0
Suriname,Americas,77880,13275.784,546,93.074,70,1314,223.991,11,1.875,0
French Guiana,Americas,77607,25983.153,220,73.657,32,391,130.908,6,2.009,2
Malta,Europe,70905,13779.627,580,112.717,79,601,116.798,7,1.36,2
Mauritius,Africa,70862,5571.928,0,0,0,786,61.804,0,0,0
Eswatini,Africa,69050,5951.745,150,12.929,29,1390,119.811,4,0.345,0
French Polynesia,Western Pacific,65583,23346.79,7323,2606.903,1234,638,227.121,1,0.356,1
Fiji,Western Pacific,63687,7104.396,144,16.063,35,826,92.142,3,0.335,0
Madagascar,Africa,63433,229.074,589,2.127,0,1350,4.875,15,0.054,0
Guyana,Americas,62746,7977.349,386,49.075,78,1215,154.472,16,2.034,2
Sudan,Eastern Mediterranean,61376,139.97,1437,3.277,26,3901,8.896,80,0.182,6
Mauritania,Africa,58621,1260.759,37,0.796,3,977,21.012,4,0.086,0
Belize,Americas,56374,14177.573,721,181.325,118,647,162.715,15,3.772,2
Cabo Verde,Africa,55870,10048.796,14,2.518,6,401,72.124,1,0.18,0
Barbados,Americas,54344,18910.483,2034,707.786,460,311,108.221,9,3.132,0
Syrian Arab Republic,Eastern Mediterranean,54040,308.788,892,5.097,128,3059,17.479,21,0.12,3
New Caledonia,Western Pacific,51546,18054.767,9729,3407.73,2425,299,104.729,15,5.254,12
Gabon,Africa,47520,2135.026,74,3.325,14,303,13.613,1,0.045,0
Brunei Darussalam,Western Pacific,44334,10133.972,18750,4285.92,3285,63,14.401,4,0.914,0
New Zealand,Western Pacific,42469,880.692,17872,370.617,6145,56,1.161,3,0.062,0
Papua New Guinea,Western Pacific,40748,455.436,1501,16.777,127,638,7.131,10,0.112,2
Seychelles,Africa,39251,39910.724,335,340.631,104,160,162.689,9,9.151,9
Curaçao,Americas,38778,23631.721,313,190.745,41,261,159.056,1,0.609,1
Burundi,Africa,38047,319.97,100,0.841,20,15,0.126,0,0,0
Andorra,Europe,37901,49053.258,449,581.117,81,151,195.431,1,1.294,0
Togo,Africa,36771,444.163,67,0.809,7,272,3.286,1,0.012,0
Mayotte,Africa,36631,13427.048,59,21.626,0,187,68.545,0,0,0
Guam,Western Pacific,36588,21678.566,1827,1082.506,0,320,189.602,5,2.963,1
Jersey,Europe,36420,33786.04,1349,1251.438,187,111,102.972,3,2.783,1
Guinea,Africa,36393,277.115,64,0.487,0,440,3.35,4,0.03,0
Aruba,Americas,33631,31499.728,100,93.663,13,211,197.628,13,12.176,0
United Republic of Tanzania,Africa,33620,56.283,71,0.119,0,798,1.336,2,0.003,0
Faroe Islands,Europe,33183,67907.5,2612,5345.339,284,25,51.161,1,2.046,0
Bahamas,Americas,33081,8412.334,76,19.326,13,770,195.807,2,0.509,0
Lesotho,Africa,32599,1521.719,165,7.702,0,696,32.489,0,0,0
Mali,Africa,30356,149.9,52,0.257,3,722,3.565,5,0.025,0
Haiti,Americas,30299,265.722,91,0.798,0,820,7.191,1,0.009,0
Benin,Africa,26567,219.142,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,26313,165.561,53,0.333,0,1348,8.482,3,0.019,0
Congo,Africa,23967,434.335,93,1.685,42,378,6.85,3,0.054,1
Saint Lucia,Americas,22594,12304.291,325,176.989,26,357,194.416,4,2.178,0
Timor-Leste,South-East Asia,22584,1712.927,446,33.828,46,126,9.557,1,0.076,0
Isle of Man,Europe,22508,26470.035,326,383.385,67,79,92.906,2,2.352,0
Burkina Faso,Africa,20751,99.272,22,0.105,0,375,1.794,0,0,0
Cayman Islands,Americas,18728,28496.652,1041,1583.993,0,17,25.867,1,1.522,0
Tajikistan,Europe,17786,186.482,3,0.031,0,125,1.311,0,0,0
South Sudan,Africa,16950,151.424,47,0.42,4,137,1.224,0,0,0
Equatorial Guinea,Africa,15874,1131.445,5,0.356,0,182,12.972,0,0,0
Djibouti,Eastern Mediterranean,15543,1573.178,8,0.81,1,189,19.13,0,0,0
United States Virgin Islands,Americas,15317,14667.944,71,67.991,15,109,104.381,1,0.958,1
Gibraltar,Europe,15170,45026.862,464,1377.222,79,101,299.783,0,0,0
San Marino,Europe,14291,42109.14,192,565.738,29,112,330.014,2,5.893,0
Central African Republic,Africa,14187,293.741,0,0,0,113,2.34,0,0,0
Nicaragua,Americas,13958,210.701,81,1.223,0,224,3.381,1,0.015,0
Grenada,Americas,13565,12055.313,152,135.083,0,214,190.183,0,0,0
Guernsey,Europe,13503,20945.275,597,926.041,0,31,48.086,0,0,0
Gambia,Africa,11924,493.407,0,0,0,365,15.103,0,0,0
Yemen,Eastern Mediterranean,11751,39.399,44,0.148,5,2130,7.141,17,0.057,6
Greenland,Europe,11689,20589.375,141,248.362,44,16,28.183,6,10.569,3
Liechtenstein,Europe,11548,29803.598,478,1233.644,0,74,190.983,0,0,0
Bermuda,Americas,11423,18343.423,177,284.232,0,123,197.517,2,3.212,0
Bhutan,South-East Asia,11010,1426.89,2327,301.578,496,6,0.778,1,0.13,0
Dominica,Americas,10953,15214.402,225,312.539,0,57,79.177,2,2.778,0
Saint Martin,Americas,9790,25323.987,58,150.03,0,44,113.816,0,0,0
Eritrea,Africa,9694,273.346,14,0.395,5,103,2.904,0,0,0
Sint Maarten,Americas,9535,22235.437,30,69.959,2,85,198.218,1,2.332,0
Monaco,Europe,9305,23710.631,194,494.343,38,51,129.956,1,2.548,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,9108,15824.313,1181,2051.879,226,27,46.91,2,3.475,0
Niger,Africa,8746,36.131,18,0.074,1,306,1.264,3,0.012,0
Saint Vincent and the Grenadines,Americas,8303,7484.226,25,22.535,2,106,95.547,2,1.803,0
Comoros,Africa,8024,922.722,14,1.61,3,160,18.399,0,0,0
Guinea-Bissau,Africa,7972,405.081,83,4.217,19,166,8.435,2,0.102,0
Sierra Leone,Africa,7664,96.076,5,0.063,1,125,1.567,0,0,0
Antigua and Barbuda,Americas,7429,7586.108,87,88.84,21,135,137.855,1,1.021,0
Liberia,Africa,7360,145.521,0,0,0,290,5.734,0,0,0
Chad,Africa,7248,44.126,32,0.195,0,190,1.157,0,0,0
Bonaire,Americas,6905,33014.583,93,444.657,11,28,133.875,0,0,0
Solomon Islands,Western Pacific,6348,924.174,1305,189.988,380,87,12.666,19,2.766,2
British Virgin Islands,Americas,6074,20087.972,24,79.373,0,62,205.047,0,0,0
Sao Tome and Principe,Africa,5932,2706.711,10,4.563,2,72,32.853,1,0.456,0
Turks and Caicos Islands,Americas,5848,15104.086,16,41.324,2,36,92.98,1,2.583,0
Saint Kitts and Nevis,Americas,5523,10383.14,15,28.2,0,42,78.959,2,3.76,0
Saint Barthélemy,Americas,3684,37268.589,51,515.933,0,4,40.465,0,0,0
Palau,Western Pacific,3667,20268.627,292,1613.973,40,6,33.164,1,5.527,0
Kiribati,Western Pacific,2867,2400.188,130,108.833,6,11,9.209,2,1.674,0
Anguilla,Americas,2528,16851.087,31,206.639,0,9,59.992,0,0,0
Saint Pierre and Miquelon,Americas,995,17169.974,30,517.688,0,1,17.256,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Sint Eustatius,Americas,453,14431.348,17,541.574,3,3,95.572,0,0,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Tonga,Western Pacific,287,271.536,146,138.133,18,1,0.946,1,0.946,1
Saba,Americas,208,10760.476,4,206.932,0,0,0,0,0,0
Montserrat,Americas,163,3260.652,0,0,0,2,40.008,0,0,0
Falkland Islands (Malvinas),Americas,109,3129.486,4,114.844,0,0,0,0,0,0
American Samoa,Western Pacific,72,130.442,15,27.175,0,0,0,0,0,0
Samoa,Western Pacific,33,16.632,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,15,4.884,8,2.605,0,0,0,0,0,0
Cook Islands,Western Pacific,6,34.161,3,17.08,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
